SURID	NEWS	BEAUTY	MUSIC	FITNESS	RELIGION	SCIENCE	LITERARY	SPORTS	EARLY	MORNING	DAYTIME	PRIME	EVENING	LATE	COMEDY	SOAPS	GENERAL	LEGAL	MEDICAL	MOVIES	VARIETY	NEWSSHOW	KIDS	INFO	ACTION	GAME	MVIDEO	MYSTERY	SPORT	TALK	WEIGHT	THIGHS	BUTTOCKS	HIPS	STOMACH	LEGS	WAIST	TONE	EARS	LIPS	WRISTS	HANDS	FOREHEAD	NECK	CHIN	FEET	BUST	MACS1	MACS2	MACS3	MACS4	MACS5	MACS6	MACS7	MACS8	MACS9	MACS10	MACS11	MACS12	MACS13	MACS14	MACS15	MACS16	MACS17	MACS18	MACS19	MACS20	MACS21	MACS22	MACS23	MACS24	MACS25	MACS26	MACS27	MACS28	MACS29	MACS30	MACS31	MACS32	MACS33	DIET1	DIET2	DIET3	DIET4	DIET5	DIET6	DIET7	DIET8	DIET9	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	ASSESS	AGE	CLASS	ANXIETY	GOODDIET	TOTMAC	APPROVE	CONTROL	RIGID	TOTTV
1	1	4	0	1	3	0	0	0	1	5	3	3	2	1	7	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	1	3	0	1	0	0	0	1	0	0	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	2	0	3	0	4	0	4	0	3	0	0	0	2	0	0	4	2	3	3	9	30	35	7	7	21	15
2	2	4	4	4	1	0	0	2	0	0	0	0	2	0	2	1	1	1	0	2	0	1	0	0	1	0	7	3	2	1	2	1	1	1	3	2	3	2	0	0	0	0	0	1	1	0	0	1	3	1	1	1	2	2	2	1	4	1	1	1	4	1	1	1	1	2	3	3	1	2	1	1	2	1	1	3	1	1	1	1	1	0	1	0	4	2	4	0	0	3	2	4	4	0	2	1	1	4	5	3	2	17	18	53	7	12	34	2
3	2	5	6	4	4	1	2	5	0	0	1	3	2	1	6	0	1	0	1	1	0	1	0	1	0	0	7	0	0	1	4	4	4	2	4	4	4	2	0	0	2	2	1	2	2	1	3	2	5	3	4	4	5	2	5	5	4	5	5	4	5	5	5	4	4	4	3	4	2	4	2	3	3	5	4	2	2	4	5	2	3	3	1	0	3	3	3	0	2	3	2	2	1	0	2	0	0	2	6	3	3	41	21	125	26	25	74	7
4	4	6	4	4	1	0	4	2	0	0	1	1	3	3	7	4	6	6	0	2	4	0	2	0	0	1	7	3	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	2	4	3	4	1	4	1	1	33	5	3	4	1	1	3	1	3	1	1	1	2	1	3	2	1	3	4	1	3	2	1	1	1	2	2	1	0	1	2	4	0	3	4	1	1	0	0	2	1	1	3	1	2	2	5	19	102	14	21	67	8
5	4	5	5	2	6	2	2	4	0	0	1	2	2	1	7	4	6	6	5	1	4	0	2	0	0	1	7	3	3	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	3	4	1	4	1	1	3	5	3	4	1	1	3	1	3	1	1	1	2	1	3	2	1	3	4	1	3	2	1	1	1	2	3	1	0	3	2	3	0	3	3	1	1	0	0	2	1	2	4	NA	3	2	4	22	72	14	21	37	6
6	2	2	2	2	3	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	2	0	0	1	0	0	0	4	2	5	5	NA	5	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	3	5	3	5	5	3	5	3	3	1	5	3	4	3	1	1	0	0	3	2	0	0	0	0	4	4	2	0	4	0	4	1	4	4	4	41	14	139	20	30	89	1
7	5	3	4	4	4	2	3	2	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	2	2	1	2	1	2	1	3	4	2	2	2	3	1	2	1	2	3	2	2	3	3	2	2	NA	2	2	3	2	3	0	2	2	4	0	2	2	2	2	1	0	2	1	3	3	2	4	3	7	23	62	11	14	37	2
8	2	4	2	2	0	2	2	4	0	1	2	2	1	0	2	1	1	0	1	2	0	0	0	0	1	0	1	0	0	1	2	3	2	3	3	3	3	2	0	0	0	1	0	0	0	0	1	4	4	1	5	2	4	2	2	4	5	4	4	1	1	4	2	1	4	2	2	4	2	4	4	1	4	5	1	2	2	2	3	1	2	2	1	0	1	1	3	1	2	3	1	1	1	1	2	0	0	3	5	4	4	23	17	93	16	26	51	6
9	5	4	4	5	5	2	3	2	0	0	1	0	1	0	1	0	0	0	1	2	0	1	1	0	0	1	0	0	0	0	2	3	3	2	3	3	2	2	0	0	0	0	0	0	0	1	2	4	4	4	4	2	2	3	2	4	2	3	3	2	4	3	2	1	4	4	1	4	3	4	2	2	4	4	2	2	4	2	4	2	4	4	2	0	3	1	3	0	3	0	4	1	0	0	2	0	0	2	NA	4	4	23	27	97	20	20	57	2
10	4	6	4	5	2	2	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	3	3	3	3	4	3	4	4	0	0	1	2	0	0	1	0	3	3	3	1	4	4	5	4	4	3	4	3	5	4	3	5	4	1	5	1	1	4	1	5	4	2	4	2	1	3	3	1	3	4	3	0	1	0	3	4	1	0	0	0	4	4	2	0	3	1	4	2	3	4	4	34	17	104	11	26	67	2
11	4	5	6	2	2	1	2	3	0	0	1	1	1	0	2	2	2	0	1	2	1	0	0	0	0	1	1	0	1	1	2	2	2	3	2	2	2	3	1	2	0	1	1	0	0	0	2	2	2	3	5	1	2	1	1	4	5	3	4	1	2	4	1	1	3	2	1	2	2	2	4	1	4	4	3	2	3	3	4	1	3	2	2	0	3	1	3	0	3	3	2	0	0	0	2	0	0	2	3	2	2	25	22	83	19	24	40	3
12	4	5	5	1	3	1	2	2	0	2	2	2	1	1	2	0	1	0	0	3	2	2	1	1	1	2	2	0	1	2	4	3	2	1	2	2	4	3	1	1	2	3	1	3	3	2	2	4	3	2	4	3	4	2	4	2	5	4	2	1	1	4	4	2	3	2	1	4	2	2	2	3	4	2	1	2	3	1	4	3	1	4	4	2	1	3	4	1	4	3	4	1	1	0	2	2	1	2	6	4	4	39	26	90	15	23	52	8
