common_name	book_index_number	species	genius	family	cap_diameter	cap_margin	cap_shape	cap_surface	cap_color	cap_bruising_color	cap_KOH_color	gill_attachment	gill_spacing	gill_shape	gill_color	stalk_length	stalk_diameter	stalk_shape	stalk_base	stalk_color	stalk_bruising_color	stalk_rings	odor	veil	veil_color	spore_length	spore_width	spore_shape	spore_color	edible	season	clusters	habitat	range
Abruptly-bulbous_Agaricus	122	abruptibulbus	Agaricus	Agaricaceae	medium	NA	convex	dry	white	yellow	yellow	free	crowded	narrow	white	small	small	tapering_down	bulbous	white	yellow	pendant	almond	partial	white	small	small	elliptical	purple	choice	Sep	NA	mixed_woods	canada
Shaggy_Parasol	171	rachodes	Lepiota	Agaricaceae	medium	NA	convex	smooth	gray	yellow	NA	free	close	broad	white	small	medium	straight	bulbous	white	yellow	movable	NA	partial	white	medium	medium	elliptical	white	caution	Sep	solitary	urban	canada
Smooth_Lepiota	121	naucina	Lepiota	Agaricaceae	small	NA	convex	fibers	white	NA	NA	free	crowded	broad	white	small	small	tapering_up	NA	white	NA	movable	foul	partial	white	small	small	oval	white	caution	Sep	scattered	meadows	north-west
Abruptly-bulbous_Agaricus	122	abruptibulbus	Agaricus	Agaricaceae	medium	NA	convex	smooth	white	yellow	yellow	free	crowded	narrow	white	small	small	tapering_down	bulbous	white	yellow	pendant	almond	partial	white	small	small	elliptical	purple	choice	Aug	NA	mixed_woods	canada
Deadly_Lepiota	162	josserandii	Lepiota	Agaricaceae	small	hanging_veil	convex	dry	brown	NA	NA	free	close	broad	white	small	small	straight	NA	red	NA	incomplete	musty	partial	white	small	small	elliptical	white	deadly	Jan	NA	deciduous_woods	south-west
Bleeding_Agaricus	160	haemorrhoidarius	Agaricus	Agaricaceae	small	NA	convex	dry	brown	red	NA	free	close	broad	pink	small	small	straight	bulbous	white	pink	pendant	NA	partial	white	small	small	elliptical	purple	caution	Aug	solitary	mixed_woods	canada
Western_Flat-topped_Agaricus	152	meleagris	Agaricus	Agaricaceae	small	NA	convex	dry	gray	yellow	yellow	free	close	broad	pink	medium	medium	straight	bulbous	pink	yellow	large	foul	partial	white	small	small	oval	brown	poison	Sep	solitary	meadows	north-west
Wine-colored_Agaricus	161	subrutilescens	Agaricus	Agaricaceae	medium	NA	convex	scaly	brown	NA	green	free	crowded	narrow	pink	medium	medium	tapering_up	NA	white	NA	flaring	NA	partial	white	small	small	elliptical	brown	caution	Sep	solitary	coniferous_woods	north-west
Red-gilled_Agaricus	159	echinatum	Melaniphyllum	Agaricaceae	small	hanging_veil	flat	scaly	brown	NA	NA	free	close	broad	brown	small	small	straight	bulbous	brown	NA	NA	NA	partial	NA	small	small	elliptical	brown	NA	Aug	scattered	deciduous_woods	north-east
Wine-colored_Agaricus	161	subrutilescens	Agaricus	Agaricaceae	medium	NA	convex	scaly	brown	NA	green	free	crowded	narrow	white	small	small	tapering_up	NA	white	NA	flaring	NA	partial	white	small	small	elliptical	brown	caution	Sep	solitary	coniferous_woods	north-west
